Rule 1,Description 1,Rule 2,Description 2,Score (1-10),Reason
GLB_TAGGED,"Checks if Gateway Load Balancers have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",ELB_TAGGED,"Checks if Classic Load Balancers have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (90%); Similar descriptions (97%)
EFS_IN_BACKUP_PLAN,Checks if Amazon Elastic File System (Amazon EFS) file systems are added in the backup plans of AWS Backup. The rule is NON_COMPLIANT if EFS file systems are not included in the backup plans.,EBS_IN_BACKUP_PLAN,Check if Amazon Elastic Block Store (Amazon EBS) volumes are added in backup plans of AWS Backup. The rule is NON_COMPLIANT if Amazon EBS volumes are not included in backup plans.,7,Similar names (94%); Similar descriptions (84%)
EBS_MEETS_RESTORE_TIME_TARGET,Checks if the restore time of Amazon Elastic Block Store (Amazon EBS) volumes meets the specified duration. The rule is NON_COMPLIANT if LatestRestoreExecutionTimeMinutes of an Amazon EBS volume is greater than maxRestoreTime minutes.,EC2_MEETS_RESTORE_TIME_TARGET,Checks if the restore time of Amazon Elastic Compute Cloud (Amazon EC2) instances meets the specified duration. The rule is NON_COMPLIANT if LatestRestoreExecutionTimeMinutes of an Amazon EC2 instance is greater than maxRestoreTime minutes.,7,Similar names (93%); Similar descriptions (88%)
EBS_MEETS_RESTORE_TIME_TARGET,Checks if the restore time of Amazon Elastic Block Store (Amazon EBS) volumes meets the specified duration. The rule is NON_COMPLIANT if LatestRestoreExecutionTimeMinutes of an Amazon EBS volume is greater than maxRestoreTime minutes.,EFS_MEETS_RESTORE_TIME_TARGET,Checks if the restore time of Amazon Elastic File System (Amazon EFS) File Systems meets the specified duration. The rule is NON_COMPLIANT if LatestRestoreExecutionTimeMinutes of an Amazon EFS File System is greater than maxRestoreTime minutes.,7,Similar names (97%); Similar descriptions (87%)
EFS_MEETS_RESTORE_TIME_TARGET,Checks if the restore time of Amazon Elastic File System (Amazon EFS) File Systems meets the specified duration. The rule is NON_COMPLIANT if LatestRestoreExecutionTimeMinutes of an Amazon EFS File System is greater than maxRestoreTime minutes.,S3_MEETS_RESTORE_TIME_TARGET,Checks if the restore time of Amazon Simple Storage Service (Amazon S3) buckets meets the specified duration. The rule is NON_COMPLIANT if LatestRestoreExecutionTimeMinutes of an Amazon S3 bucket is greater than maxRestoreTime minutes.,7,Similar names (95%); Similar descriptions (82%)
APPCONFIG_APPLICATION_TAGGED,"Checks if AWS AppConfig applications have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPCONFIG_EXTENSION_ASSOCIATION_TAGGED,"Checks if AWS AppConfig extension associations have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (91%)
APPCONFIG_APPLICATION_TAGGED,"Checks if AWS AppConfig applications have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPCONFIG_ENVIRONMENT_TAGGED,"Checks if AWS AppConfig environments have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (96%)
APPCONFIG_APPLICATION_DESCRIPTION,Checks if AWS AppConfig applications have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.,APPCONFIG_DEPLOYMENT_STRATEGY_DESCRIPTION,Checks if AWS AppConfig deployment strategies have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.,6,Similar descriptions (93%)
APPCONFIG_APPLICATION_DESCRIPTION,Checks if AWS AppConfig applications have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.,APPCONFIG_ENVIRONMENT_DESCRIPTION,Checks if AWS AppConfig environments have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.,6,Similar descriptions (95%)
APPCONFIG_DEPLOYMENT_STRATEGY_DESCRIPTION,Checks if AWS AppConfig deployment strategies have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.,APPCONFIG_ENVIRONMENT_DESCRIPTION,Checks if AWS AppConfig environments have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.,6,Similar descriptions (94%)
APPCONFIG_ENVIRONMENT_TAGGED,"Checks if AWS AppConfig environments have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPCONFIG_DEPLOYMENT_STRATEGY_TAGGED,"Checks if AWS AppConfig deployment strategies have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (91%)
EC2_NETWORK_INSIGHTS_PATH_TAGGED,"Checks if Amazon EC2 network insights paths have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",EC2_NETWORK_INSIGHTS_ACCESS_SCOPE_ANALYSIS_TAGGED,"Checks if Amazon EC2 network insights access scope analyses have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (95%)
EC2_FLEET_TAGGED,"Checks if Amazon EC2 fleets have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",EC2_PREFIX_LIST_TAGGED,"Checks if Amazon EC2 managed prefix lists have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (93%)
EC2_VPN_CONNECTION_TAGGED,"Checks if Amazon EC2 VPN connections have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",EC2_DHCP_OPTIONS_TAGGED,"Checks if Amazon EC2 DHCP options have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (90%)
GUARDDUTY_MALWARE_PROTECTION_ENABLED,Checks if Malware Protection is enabled for an Amazon GuardDuty detector in your account. The rule is NON_COMPLIANT if the Malware Protection feature in Amazon GuardDuty is not enabled for your account.,GUARDDUTY_RDS_PROTECTION_ENABLED,Checks if Amazon Relational Database Service (Amazon RDS) protection is enabled for an Amazon GuardDuty detector in your account. The rule is NON_COMPLIANT if the Amazon RDS protection feature in Amazon GuardDuty is not enabled for you account.,6,Similar names (85%); Similar descriptions (84%)
LIGHTSAIL_CERTIFICATE_TAGGED,"Checks if Amazon Lightsail certificates have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",LIGHTSAIL_BUCKET_TAGGED,"Checks if Amazon Lightsail buckets have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (96%)
LIGHTSAIL_CERTIFICATE_TAGGED,"Checks if Amazon Lightsail certificates have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",LIGHTSAIL_DISK_TAGGED,"Checks if Amazon Lightsail disks have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (97%)
RDS_SQL_SERVER_LOGS_TO_CLOUDWATCH,Checks if an Amazon SQL Server DB instance is configured to publish logs to Amazon CloudWatch Logs. This rule is NON_COMPLIANT if the DB instance is not configured to publish logs to Amazon CloudWatch Logs.,RDS_POSTGRESQL_LOGS_TO_CLOUDWATCH,Checks if an Amazon PostgreSQL DB instance is configured to publish logs to Amazon CloudWatch Logs. The rule is NON_COMPLIANT if the DB instance is not configured to publish logs to Amazon CloudWatch Logs.,6,Similar descriptions (96%)
IOT_JOB_TEMPLATE_TAGGED,"Checks if AWS IoT job template resources resources have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",IOT_PROVISIONING_TEMPLATE_TAGGED,"Checks if AWS IoT provisioning templates have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (93%)
EVIDENTLY_SEGMENT_TAGGED,"Checks if Amazon CloudWatch Evidently segments have tags. Optionally, you can specify tag keys.  The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",EVIDENTLY_LAUNCH_TAGGED,"Checks if Amazon CloudWatch Evidently launches have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (97%)
EVIDENTLY_SEGMENT_TAGGED,"Checks if Amazon CloudWatch Evidently segments have tags. Optionally, you can specify tag keys.  The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",EVIDENTLY_PROJECT_TAGGED,"Checks if Amazon CloudWatch Evidently projects have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (97%)
EVIDENTLY_LAUNCH_TAGGED,"Checks if Amazon CloudWatch Evidently launches have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",EVIDENTLY_PROJECT_TAGGED,"Checks if Amazon CloudWatch Evidently projects have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (97%)
IOTTWINMAKER_COMPONENT_TYPE_TAGGED,"Checks if AWS IoT TwinMaker component types have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",IOTTWINMAKER_SYNC_JOB_TAGGED,"Checks if AWS IoT TwinMaker sync jobs have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (95%)
IOTTWINMAKER_ENTITY_TAGGED,"Checks if AWS IoT TwinMaker entities have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",IOTTWINMAKER_SYNC_JOB_TAGGED,"Checks if AWS IoT TwinMaker sync jobs have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (97%)
IOTTWINMAKER_ENTITY_TAGGED,"Checks if AWS IoT TwinMaker entities have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",IOTTWINMAKER_WORKSPACE_TAGGED,"Checks if AWS IoT TwinMaker workspaces have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (97%)
IOTTWINMAKER_SYNC_JOB_TAGGED,"Checks if AWS IoT TwinMaker sync jobs have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",IOTTWINMAKER_WORKSPACE_TAGGED,"Checks if AWS IoT TwinMaker workspaces have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (96%)
APPSYNC_CACHE_CT_ENCRYPTION_IN_TRANSIT,Checks if an AWS AppSync API cache has encryption in transit enabled. The rule is NON_COMPLIANT if 'TransitEncryptionEnabled' is false.,APPSYNC_CACHE_ENCRYPTION_AT_REST,Checks if an AWS AppSync API cache has encryption at rest enabled. This rule is NON_COMPLIANT if 'AtRestEncryptionEnabled' is false.,6,Similar descriptions (94%)
APPMESH_VIRTUAL_SERVICE_TAGGED,"Checks if AWS App Mesh virtual services have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPMESH_VIRTUAL_GATEWAY_TAGGED,"Checks if AWS App Mesh virtual gateways have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (97%)
APPMESH_VIRTUAL_SERVICE_TAGGED,"Checks if AWS App Mesh virtual services have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPMESH_ROUTE_TAGGED,"Checks if AWS App Mesh routes have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (93%)
APPMESH_GATEWAY_ROUTE_TAGGED,"Checks if AWS App Mesh gateway routes have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPMESH_VIRTUAL_ROUTER_TAGGED,"Checks if AWS App Mesh virtual routers have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (95%)
APPMESH_GATEWAY_ROUTE_TAGGED,"Checks if AWS App Mesh gateway routes have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPMESH_VIRTUAL_GATEWAY_TAGGED,"Checks if AWS App Mesh virtual gateways have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (94%)
APPMESH_VIRTUAL_NODE_TAGGED,"Checks if AWS App Mesh virtual nodes have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPMESH_ROUTE_TAGGED,"Checks if AWS App Mesh routes have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (97%)
APPMESH_VIRTUAL_GATEWAY_TAGGED,"Checks if AWS App Mesh virtual gateways have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPMESH_ROUTE_TAGGED,"Checks if AWS App Mesh routes have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (93%)
APPMESH_VIRTUAL_NODE_BACKEND_DEFAULTS_TLS_ON,Checks if backend defaults for AWS App Mesh virtual nodes require the virtual nodes to communicate with all ports using TLS. The rule is NON_COMPLIANT if configuration.Spec.BackendDefaults.ClientPolicy.Tls.Enforce is false.,APPMESH_VIRTUAL_NODE_SERVICE_BACKENDS_TLS_ENFORCED,Checks if service backends for AWS App Mesh virtual nodes require the virtual nodes to communicate with all ports using TLS. The rule is NON_COMPLIANT if any configuration.Spec.Backends[].ClientPolicy.Tls.Enforce is false.,6,Similar descriptions (93%)
CODEBUILD_REPORT_GROUP_TAGGED,"Checks if AWS CodeBuild report groups have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",CODEBUILD_PROJECT_TAGGED,"Checks if AWS CodeBuild projects have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (96%)
APPRUNNER_SERVICE_TAGGED,"Checks if AWS App Runner services have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPRUNNER_VPC_CONNECTOR_TAGGED,"Checks if AWS App Runner VPC connectors have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (96%)
LAMBDA_FUNCTION_APPLICATION_LOG_LEVEL_CHECK,Checks if AWS Lambda functions with JSON structured logs are configured with a specified application log level. The rule is NON_COMPLIANT if configuration.loggingConfig.applicationLogLevel is not a value specified in the required rule parameter.,LAMBDA_FUNCTION_SYSTEM_LOG_LEVEL_CHECK,Checks if AWS Lambda functions with JSON structured logs are configured with a specified system log level. The rule is NON_COMPLIANT if configuration.loggingConfig.systemLogLevel is not a value specified in the required rule parameter.,6,Similar descriptions (93%)
EKS_CLUSTER_LOG_ENABLED,Checks if an Amazon Elastic Kubernetes Service (Amazon EKS) cluster is configured with logging enabled. The rule is NON_COMPLIANT if logging for Amazon EKS clusters is not enabled or if logging is not enabled with the log type mentioned.,EKS_CLUSTER_LOGGING_ENABLED,Checks if an Amazon Elastic Kubernetes Service (Amazon EKS) cluster is configured with logging enabled. The rule is NON_COMPLIANT if logging for Amazon EKS clusters is not enabled for all log types.,6,Similar names (88%); Similar descriptions (90%)
EKS_CLUSTER_OLDEST_SUPPORTED_VERSION,Checks if an Amazon Elastic Kubernetes Service (EKS) cluster is running the oldest supported version. The rule is NON_COMPLIANT if an EKS cluster is running oldest supported version (equal to the parameter 'oldestVersionSupported').,EKS_CLUSTER_SUPPORTED_VERSION,Checks if an Amazon Elastic Kubernetes Service (EKS) cluster is running a supported Kubernetes version. This rule is NON_COMPLIANT if an EKS cluster is running an unsupported version (less than the parameter 'oldestVersionSupported').,6,Similar names (89%); Similar descriptions (84%)
TRANSFER_AGREEMENT_DESCRIPTION,Checks if AWS Transfer Family agreements have a description. The rule is NON_COMPLIANT if configuration.Description does not exist.,TRANSFER_CERTIFICATE_DESCRIPTION,Checks if AWS Transfer Family certificates have a description. The rule is NON_COMPLIANT if configuration.Description does not exist.,6,Similar descriptions (94%)
TRANSFER_AGREEMENT_TAGGED,"Checks if AWS Transfer Family agreements have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",TRANSFER_PROFILE_TAGGED,"Checks if AWS Transfer Family profiles have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (97%)
TRANSFER_CERTIFICATE_TAGGED,"Checks if AWS Transfer Family certificates have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",TRANSFER_CONNECTOR_TAGGED,"Checks if AWS Transfer Family connectors have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (96%)
TRANSFER_CERTIFICATE_TAGGED,"Checks if AWS Transfer Family certificates have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",TRANSFER_PROFILE_TAGGED,"Checks if AWS Transfer Family profiles have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (97%)
TRANSFER_CERTIFICATE_TAGGED,"Checks if AWS Transfer Family certificates have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",TRANSFER_WORKFLOW_TAGGED,"Checks if AWS Transfer Family workflows have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (96%)
TRANSFER_CONNECTOR_AS2_ENCRYPTION_ALGORITHM_CHECK,Checks that AWS Transfer Family AS2 connectors are not configured with a weak encryption algorithm. The rule is NON_COMPLIANT if configuration.As2Config.EncryptionAlgorithm is 'DES_EDE3_CBC'.,TRANSFER_CONNECTOR_AS2_SIGNING_ALGORITHM_CHECK,Checks if AWS Transfer Family AS2 connectors are configured with a signing algorithm. The rule is NON_COMPLIANT if configuration.As2Config.SigningAlgorithm is 'NONE'.,6,Similar names (87%); Similar descriptions (86%)
TRANSFER_CONNECTOR_AS2_MDN_SIGNING_ALGORITHM_CHECK,Checks if AWS Transfer Family AS2 connectors are configured with a specified MDN signing algorithm for MDN responses. The rule is NON_COMPLIANT if configuration.As2Config.MdnSigningAlgorithm is a value not specified in the required rule parameter.,TRANSFER_CONNECTOR_AS2_SIGNING_ALGORITHM_CHECK,Checks if AWS Transfer Family AS2 connectors are configured with a signing algorithm. The rule is NON_COMPLIANT if configuration.As2Config.SigningAlgorithm is 'NONE'.,6,Similar names (95%); Similar descriptions (79%)
TRANSFER_CONNECTOR_TAGGED,"Checks if AWS Transfer Family connectors have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",TRANSFER_PROFILE_TAGGED,"Checks if AWS Transfer Family profiles have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (97%)
TRANSFER_CONNECTOR_TAGGED,"Checks if AWS Transfer Family connectors have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",TRANSFER_WORKFLOW_TAGGED,"Checks if AWS Transfer Family workflows have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (96%)
TRANSFER_PROFILE_TAGGED,"Checks if AWS Transfer Family profiles have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",TRANSFER_WORKFLOW_TAGGED,"Checks if AWS Transfer Family workflows have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (97%)
FSX_ONTAP_DEPLOYMENT_TYPE_CHECK,Checks if Amazon FSx for NetApp ONTAP file systems are configured with certain deployment types. The rule is NON_COMPLIANT if the Amazon FSx for NetApp ONTAP file systems are not configured with the deployment types you specify.,FSX_OPENZFS_DEPLOYMENT_TYPE_CHECK,Checks if the Amazon FSx for OpenZFS file systems are configured with certain deployment types. The rule is NON_COMPLIANT if FSx for OpenZFS file systems are not configured with the deployment types you specify.,6,Similar names (85%); Similar descriptions (85%)
FSX_ONTAP_DEPLOYMENT_TYPE_CHECK,Checks if Amazon FSx for NetApp ONTAP file systems are configured with certain deployment types. The rule is NON_COMPLIANT if the Amazon FSx for NetApp ONTAP file systems are not configured with the deployment types you specify.,FSX_WINDOWS_DEPLOYMENT_TYPE_CHECK,Checks if the Amazon FSx for WINDOWS file systems are configured with certain deployment types. The rule is NON_COMPLIANT if FSx for WINDOWS file systems are not configured with the deployment types you specify.,6,Similar names (81%); Similar descriptions (88%)
WAF_GLOBAL_RULE_NOT_EMPTY,Checks if an AWS WAF global rule contains any conditions. The rule is NON_COMPLIANT if no conditions are present within the WAF global rule.,WAF_GLOBAL_RULEGROUP_NOT_EMPTY,Checks if an AWS WAF Classic rule group contains any rules. The rule is NON_COMPLIANT if there are no rules present within a rule group.,6,Similar names (91%); Similar descriptions (74%)
SAGEMAKER_DOMAIN_TAGGED,"Checks if Amazon SageMaker domains have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",SAGEMAKER_APP_IMAGE_CONFIG_TAGGED,"Checks if Amazon SageMaker app image configs have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (95%)
SAGEMAKER_MODEL_ISOLATION_ENABLED,Checks if an Amazon SageMaker model has network isolation enabled. The rule is NON_COMPLIANT if configuration.EnableNetworkIsolation is false.,SAGEMAKER_MODEL_BIAS_JOB_ISOLATION,Checks if Amazon SageMaker model bias job definitions have network isolation enabled. The rule is NON_COMPLIANT if configuration.NetworkConfig.EnableNetworkIsolation is false.,6,Similar names (85%); Similar descriptions (87%)
SAGEMAKER_APP_IMAGE_CONFIG_TAGGED,"Checks if Amazon SageMaker app image configs have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",SAGEMAKER_IMAGE_TAGGED,"Checks if Amazon SageMaker images have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (96%)
SAGEMAKER_DATA_QUALITY_JOB_ENCRYPT_IN_TRANSIT,Checks if Amazon SageMaker data quality job definitions have inter-container traffic encryption enabled when the instance count is 2 or greater. The rule is NON_COMPLIANT if configuration.NetworkConfig.EnableInterContainerTrafficEncryption is false.,SAGEMAKER_MODEL_BIAS_JOB_ENCRYPT_IN_TRANSIT,Checks if Amazon SageMaker model bias job definitions have inter-container traffic encryption enabled when the instance count is 2 or greater. The rule is NON_COMPLIANT if configuration.NetworkConfig.EnableInterContainerTrafficEncryption is false.,6,Similar descriptions (96%)
SAGEMAKER_DATA_QUALITY_JOB_ISOLATION,Checks if Amazon SageMaker data quality job definitions have network isolation enabled. The rule is NON_COMPLIANT if configuration.NetworkConfig.EnableNetworkIsolation is false.,SAGEMAKER_MODEL_BIAS_JOB_ISOLATION,Checks if Amazon SageMaker model bias job definitions have network isolation enabled. The rule is NON_COMPLIANT if configuration.NetworkConfig.EnableNetworkIsolation is false.,6,Similar descriptions (95%)
FRAUDDETECTOR_ENTITY_TYPE_TAGGED,"Checks if Amazon Fraud Detector entity types have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",FRAUDDETECTOR_VARIABLE_TAGGED,"Checks if Amazon Fraud Detector variables have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",6,Similar descriptions (97%)
